country,company,wiki_url,official_sites,status_note
China,Zvečevo,https://en.wikipedia.org/wiki/Zve%C4%8Devo,http://www.zvecevo.hr/en/,Confirmed
Colombia,Alpina Productos Alimenticios,https://en.wikipedia.org/wiki/Alpina_Productos_Alimenticios,,
Colombia,Alquería,https://en.wikipedia.org/wiki/Alquer%C3%ADa_(company),http://www.alqueria.com.co,Confirmed
Colombia,Grupo Nutresa,https://en.wikipedia.org/wiki/Grupo_Nutresa,http://www.chocolates.com.co/,Confirmed
Colombia,Postobón,https://en.wikipedia.org/wiki/Postob%C3%B3n,,
Colombia,Quala,https://en.wikipedia.org/wiki/Quala,,
Croatia,Agrokor,https://en.wikipedia.org/wiki/Agrokor,http://www.agrokor.hr/,Confirmed
Croatia,Atlantic Grupa,https://en.wikipedia.org/wiki/Atlantic_Grupa,http://www.atlantic.hr/en/,Confirmed
Croatia,Čakovečki mlinovi,https://en.wikipedia.org/wiki/%C4%8Cakove%C4%8Dki_mlinovi,http://www.cak-mlinovi.hr/,Confirmed
Croatia,Franck,https://en.wikipedia.org/wiki/Franck_(company),,
Croatia,Kandit,https://en.wikipedia.org/wiki/Kandit,,
Croatia,Koestlin,https://en.wikipedia.org/wiki/Koestlin,http://www.koestlin.hr/home,Confirmed
Croatia,Kraš,https://en.wikipedia.org/wiki/Kra%C5%A1,http://www.kras.hr/,Confirmed
Croatia,Podravka,https://en.wikipedia.org/wiki/Podravka,http://www.podravka.hr,Confirmed
Croatia,Vindija,https://en.wikipedia.org/wiki/Vindija_(company),http://www.vindija.hr/,Confirmed
Croatia,Zvečevo,https://en.wikipedia.org/wiki/Zve%C4%8Devo,http://www.zvecevo.hr/en/,Confirmed
Cuba,José Arechabala S.A.,https://en.wikipedia.org/wiki/Jos%C3%A9_Arechabala_S.A.,,
Denmark,Arla Foods,https://en.wikipedia.org/wiki/Arla_Foods,http://arla.com,Confirmed
Denmark,Carlsberg Group,https://en.wikipedia.org/wiki/Carlsberg_Group,https://www.carlsberggroup.com,Confirmed
Denmark,Chr. Hansen,https://en.wikipedia.org/wiki/Chr._Hansen,http://www.chr-hansen.com/,Confirmed
Denmark,Co-Ro Food,https://en.wikipedia.org/wiki/Co-Ro_Food,http://www.co-ro.com/,Confirmed
Denmark,Danish Agro,https://en.wikipedia.org/wiki/Danish_Agro,http://www.danishagro.dk/,Confirmed
Denmark,Danish Crown AmbA,https://en.wikipedia.org/wiki/Danish_Crown_AmbA,http://danishcrown.com,Confirmed
Denmark,DAVA Foods,https://en.wikipedia.org/wiki/DAVA_Foods,https://www.dava.dk,Confirmed
Denmark,Friis-Holm,https://en.wikipedia.org/wiki/Friis-Holm,http://www.friisholmchokolade.dk/,Confirmed
Denmark,Kohberg Bakery Group,https://en.wikipedia.org/wiki/Kohberg_Bakery_Group,http://www.kohberg.dk/,Confirmed
Denmark,Knuthenlund,https://en.wikipedia.org/wiki/Knuthenlund,,
Denmark,Løgismose Meyers,https://en.wikipedia.org/wiki/L%C3%B8gismose_Meyers,http://www.loegismosemeyers.dk,Confirmed
Denmark,Stauning Whisky,https://en.wikipedia.org/wiki/Stauning_Whisky,,
Denmark,Toms International,https://en.wikipedia.org/wiki/Toms_International,http://www.tomsgroup.com,Confirmed
Finland,Atria,https://en.wikipedia.org/wiki/Atria_(company),https://www.atria.com/en/,Confirmed
Finland,Fazer,https://en.wikipedia.org/wiki/Fazer,https://www.fazer.com/,Confirmed
Finland,HKScan,https://en.wikipedia.org/wiki/HKScan,,
Finland,Kaslink Foods,https://en.wikipedia.org/wiki/Kaslink_Foods,,
Finland,Paulig,https://en.wikipedia.org/wiki/Paulig,http://www.pauliggroup.com/,Confirmed
Finland,Raisio Group,https://en.wikipedia.org/wiki/Raisio_Group,http://www.raisiogroup.com/,Confirmed
Finland,Valio,https://en.wikipedia.org/wiki/Valio,,
France,Alter Eco,https://en.wikipedia.org/wiki/Alter_Eco,,
France,Amorino,https://en.wikipedia.org/wiki/Amorino_(company),http://www.amorino.com/en/,Confirmed
France,Bel Group,https://en.wikipedia.org/wiki/Bel_Group,,
France,Biscuiterie Saint-Michel,https://en.wikipedia.org/wiki/Biscuiterie_Saint-Michel,,
France,Biscuits Fossier,https://en.wikipedia.org/wiki/Biscuits_Fossier,http://www.fossier.fr/,Confirmed
France,Bonduelle,https://en.wikipedia.org/wiki/Bonduelle,,
France,Bongrain,https://en.wikipedia.org/wiki/Bongrain,https://www.savencia-fromagedairy.com/en/,Confirmed
France,Bonnat Chocolates,https://en.wikipedia.org/wiki/Bonnat_Chocolates,,
France,Castel Group,https://en.wikipedia.org/wiki/Castel_Group,,
France,Comigel,https://en.wikipedia.org/wiki/Comigel,http://www.comigel.com/,Confirmed
France,Compagnie des Fromages et RichesMonts,https://en.wikipedia.org/wiki/Compagnie_des_Fromages_et_RichesMonts,http://www.cfrcheese.com/,Confirmed
France,Cooperl Arc Atlantique,https://en.wikipedia.org/wiki/Cooperl_Arc_Atlantique,,
France,Dalloyau,https://en.wikipedia.org/wiki/Dalloyau,http://www.dalloyau.fr,Confirmed
France,Danone,https://en.wikipedia.org/wiki/Danone,https://www.danone.com/,Confirmed
France,Daregal,https://en.wikipedia.org/wiki/Daregal,https://web.archive.org/web/20081023025118/http://www.daregalgourmet.com/,Confirmed
France,Debauve & Gallais,https://en.wikipedia.org/wiki/Debauve_%26_Gallais,https://debauve-et-gallais.fr/en/,Confirmed
France,Délifrance,https://en.wikipedia.org/wiki/D%C3%A9lifrance,http://delifrance.com,Confirmed
France,Fleury Michon,https://en.wikipedia.org/wiki/Fleury_Michon,http://www.fleurymichon.fr/,Confirmed
France,Groupe Bigard,https://en.wikipedia.org/wiki/Groupe_Bigard,,
France,Groupe Doux,https://en.wikipedia.org/wiki/Groupe_Doux,,
France,Groupe Holder,https://en.wikipedia.org/wiki/Groupe_Holder,,
France,Groupe Le Duff,https://en.wikipedia.org/wiki/Groupe_Le_Duff,https://web.archive.org/web/20121121013118/http://www.groupeleduff.com/en,Confirmed
France,Groupe Limagrain,https://en.wikipedia.org/wiki/Groupe_Limagrain,https://www.limagrain.com/en,Confirmed
France,Hédiard,https://en.wikipedia.org/wiki/H%C3%A9diard,http://www.hediard.com,Confirmed
France,La Vie Claire,https://en.wikipedia.org/wiki/La_Vie_Claire_(company),http://www.lavieclaire.com/,Confirmed
France,Lactalis,https://en.wikipedia.org/wiki/Lactalis,http://www.lactalis.com/,Confirmed
France,Lur Berri,https://en.wikipedia.org/wiki/Lur_Berri,http://www.lurberri.fr,Confirmed
France,Menier Chocolate,https://en.wikipedia.org/wiki/Menier_Chocolate,https://www.menier.co.uk/,Confirmed
France,Michel et Augustin,https://en.wikipedia.org/wiki/Michel_et_Augustin,https://www.micheletaugustin.com/,Confirmed
France,Pernod Ricard,https://en.wikipedia.org/wiki/Pernod_Ricard,http://pernod-ricard.com/,Confirmed
France,Picard Surgelés,https://en.wikipedia.org/wiki/Picard_Surgel%C3%A9s,,
France,The Soufflet Group,https://en.wikipedia.org/wiki/The_Soufflet_Group,,
France,Tereos,https://en.wikipedia.org/wiki/Tereos,,
France,Valrhona,https://en.wikipedia.org/wiki/Valrhona,,
Germany,Aldi,https://en.wikipedia.org/wiki/Aldi,https://aldi.com,Confirmed
Germany,Alnatura,https://en.wikipedia.org/wiki/Alnatura,,
Germany,Asbach Uralt,https://en.wikipedia.org/wiki/Asbach_Uralt,http://arquivo.pt/wayback/20131105174521/http%3A//www.asbach.de/weiche.htm,Confirmed
Germany,August Storck,https://en.wikipedia.org/wiki/August_Storck,https://www.storck.com/,Confirmed
Germany,Bahlsen,https://en.wikipedia.org/wiki/Bahlsen,https://www.thebahlsenfamily.com,Confirmed
