country,company,wiki_url,official_sites,possible_official_sites,status_note,company_summary
Australia,Norco Co-operative,https://en.wikipedia.org/wiki/Norco_Co-operative,,,Manual Check Required,"Norco Co-operative Limited is an agricultural supply and marketing co-operative based in the Northern Rivers region of New South Wales, Australia. Established in 1895, it sells dairy products and services locally and internationally. Its 200+ dairy farm members supply over 200 million litres of milk..."
Australia,Nuttelex,https://en.wikipedia.org/wiki/Nuttelex,https://www.nuttelex.com/,,Confirmed,"Nuttelex is an Australian manufacturer of margarine. First manufactured in 1932, its namesake brand is the oldest brand of margarine in Australia."
Australia,Patties Foods,https://en.wikipedia.org/wiki/Patties_Foods,https://www.pattiesfoodgroup.com/,,Confirmed,"Patties Foods, is an Australian food manufacturing company that produces meat pies, baked goods, frozen fruits, and pre-made desserts. Patties Foods is represented in the Australian market by the Four'n Twenty, Patties, Herbert Adams, Nanna's, Chefs Pride, Boscastle and Snowy River brands. Patties i..."
Australia,Retail Food Group,https://en.wikipedia.org/wiki/Retail_Food_Group,http://www.rfg.com.au,,Confirmed,"Retail Food Group Limited, often abbreviated as RFG, is an ASX-listed company and Australian franchisor based in Robina, Queensland and operates locations in Australia and New Zealand. It owns numerous brands including Gloria Jean's Coffees, Brumby's Bakeries, Donut King, Di Bella Coffee, The Coffee..."
Australia,San Remo Macaroni Company,https://en.wikipedia.org/wiki/San_Remo_Macaroni_Company,https://sanremo.com.au/,,Confirmed,"San Remo, formerly San Remo Macaroni Company, is an Australian food company based in Adelaide, South Australia. The company was founded in 1936 by Luigi Crotti, who migrated to Australia from Italy. It played a major part in making pasta a staple of the Australian diet, before expanding its horizons..."
Australia,Sanitarium,https://en.wikipedia.org/wiki/Sanitarium_Health_Food_Company,,https://books.google.com/books?id=5dSsAAAACAAJ,Potential,"The Sanitarium Health and Wellbeing Company is the trade name of two sister food companies (Australian Health and Nutrition Association Ltd and New Zealand Health Association Ltd). Both are wholly owned by the Seventh-day Adventist Church. Founded in Melbourne, Victoria, in 1898, Sanitarium has fact..."
Australia,Schweppes Australia,https://en.wikipedia.org/wiki/Schweppes_Australia,https://www.asahibeverages.com/,,Confirmed,"Asahi Beverages is the non-alcohol business of Asahi Breweries operating in Australia and New Zealand. Its history is tied to Schweppes whose beverages arrived in Australia in 1850. In 1877, the first factory was built in Sydney, followed by one in Melbourne in 1885. After an international merger wi..."
Australia,Snack Brands Australia,https://en.wikipedia.org/wiki/Snack_Brands_Australia,http://snackbrands.com.au/,,Confirmed,"Snackbrands (SBA) is one of the largest suppliers of snack foods in Australia and acts as the main competitor to the long established The Smith's Snackfood Company. The company was founded in August 1998 as a subsidiary of parent company Snack Foods Limited, with main product lines including Kettle,..."
Australia,So Natural,https://en.wikipedia.org/wiki/So_Natural_(brand),https://web.archive.org/web/20120328064511/http://freedomfoods.stagingserver.com.au/A-Bit-About-Us/Our-Brands/So-Natural.aspx,,Confirmed,"So Natural, an Australian brand of organic products, is part of Freedom Foods Group, a diversified food company operating in the health and wellness sector. So Natural was formed in 1991 when it started producing soy milk. In 2004, So Natural gained wide publicity in Australia when it announced an e..."
Australia,Sustagen,https://en.wikipedia.org/wiki/Sustagen,http://www.sustagen.com.au/,,Confirmed,"Sustagen is a nutritional supplement beverage brand, available in both ready-to-drink and powdered form, manufactured by the food science division of Nestle, and includes products for those with special dietary requirements for example, gluten-free, low lactose, high fibre, high protein or with adde..."
Australia,Tassal,https://en.wikipedia.org/wiki/Tassal,http://www.tassal.com.au/,,Confirmed,"Tassal is a Canadian-owned aquaculture company with its main operations based in Tasmania. It was founded in 1986 and listed on the Australian Securities Exchange (ASX) from 2003 until 2022. Tassal is the largest producer of Tasmanian grown Atlantic salmon, supplying salmon to both domestic and inte..."
Australia,Thomas Foods International,https://en.wikipedia.org/wiki/Thomas_Foods_International,,,Manual Check Required,"Thomas Foods International (TFI) is Australia’s largest 100% family-owned red meat processor, headquartered in South Australia. The company is led by Darren Thomas, Managing Director and son of co-founder, Chris Thomas. TFI is a fully vertically-integrated business, with the full supply chain in-hou..."
Australia,Three Threes Condiments,https://en.wikipedia.org/wiki/Three_Threes_Condiments,http://www.threethrees.com.au/,,Confirmed,Three Threes Condiments is a condiments producer of Australia.
Australia,Warrnambool Cheese and Butter,https://en.wikipedia.org/wiki/Warrnambool_Cheese_and_Butter,http://www.wcbf.com.au/,,Confirmed,"Warrnambool Cheese & Butter Factory Company Holdings Limited (WCB) is an Australian-based company manufacturing dairy products, majority-owned by Saputo Inc., a Canadian company, that manufactures a range of dairy products under various brands. The business is based in Allansford, Victoria and is th..."
Australia,Weis,https://en.wikipedia.org/wiki/Weis_(frozen_foods_company),http://www.weis.com.au/,,Confirmed,Weis is an Australian brand owned by The Magnum Ice Cream Company that produces frozen ice confectionery and frozen fruit desserts. They are most well known for their bar shaped fruit ice creams known as Weis Bars. They are sold at most Australian milk bars and supermarkets and in boxes of eight min...
Australia,Wendy's Supa Sundaes,https://en.wikipedia.org/wiki/Wendy%27s_Supa_Sundaes,https://wendysmilkbar.com/,,Confirmed,"Wendy's Milk Bar, formerly known as Wendy's Supa Sundaes, is an Australian ice cream parlour franchise chain consisting of over 200 stores and kiosks. Founded in Adelaide, it is owned by parent company Supatreats Australia, headquartered in the Sydney suburb of Baulkham Hills. The chain is unrelated..."
Australia,Wesfarmers,https://en.wikipedia.org/wiki/Wesfarmers,http://www.wesfarmers.com.au/,,Confirmed,"Wesfarmers Limited is an Australian conglomerate, headquartered in Perth, Western Australia. It has interests predominantly in Australia and New Zealand, operating in retail, chemical, fertiliser, industrial and safety products. With revenue of A$45.7 billion in the 2025 financial year, it is one of..."
